Precinct,Registered Voters,Ballots Cast,Voter Turnout (%)
4193,82,1,6.10%
4194,229,2,1.31%
4196,0,0,0.00%
4197,4,1,25.00%
4198,"1,741",128,14.01%
4199,"1,443",105,9.70%
4200,"2,882",356,20.23%
4201,19,0,0.00%
4202,0,0,0.00%
4203,363,38,19.56%
4204,7,0,0.00%
4205,138,5,13.04%
4206,532,31,11.09%
4207,0,0,0.00%
4208,0,0,0.00%
4210,17,2,35.29%
4211,30,5,20.00%
4212,0,0,0.00%
4213,38,1,2.63%
5555,0,2,0.00%
6666,0,0,0.00%
7777,0,0,0.00%
1064,648,16,7.87%
