Precinct,Race,Candidate,Total Votes,Vote Percentage
2058,District 1,Roberto C. Treviño,70.0,44.03
2059,District 1,Mario Bravo,117.0,51.77
2059,District 1,Roberto C. Treviño,109.0,48.23
2062,District 1,Mario Bravo,160.0,76.19
2062,District 1,Roberto C. Treviño,50.0,23.81
2064,District 1,Mario Bravo,265.0,75.28
2064,District 1,Roberto C. Treviño,87.0,24.72
2067,District 1,Mario Bravo,22.0,57.89
2067,District 1,Roberto C. Treviño,16.0,42.11
2070,District 5,Teri Castillo,94.0,50.54
2070,District 5,Rudy Lopez,92.0,49.46
2071,District 5,Teri Castillo,24.0,48.0
2071,District 5,Rudy Lopez,26.0,52.0
2073,District 1,Mario Bravo,91.0,64.54
2073,District 1,Roberto C. Treviño,50.0,35.46
2074,District 5,Teri Castillo,14.0,48.28
2074,District 5,Rudy Lopez,15.0,51.72
2075,District 1,Mario Bravo,23.0,57.5
2075,District 1,Roberto C. Treviño,17.0,42.5
2079,District 5,Teri Castillo,31.0,77.5
2079,District 5,Rudy Lopez,9.0,22.5
2080,District 1,Mario Bravo,58.0,61.7
2080,District 1,Roberto C. Treviño,36.0,38.3
2082,District 1,Mario Bravo,87.0,54.72
2082,District 1,Roberto C. Treviño,72.0,45.28
2085,District 1,Mario Bravo,163.0,76.53
2085,District 1,Roberto C. Treviño,50.0,23.47
2089,District 5,Teri Castillo,13.0,59.09
2089,District 5,Rudy Lopez,9.0,40.91
2092,District 1,Mario Bravo,17.0,60.71
2092,District 1,Roberto C. Treviño,11.0,39.29
2094,District 1,Mario Bravo,16.0,66.67
2094,District 1,Roberto C. Treviño,8.0,33.33
2100,District 1,Mario Bravo,84.0,74.34
2100,District 1,Roberto C. Treviño,29.0,25.66
2103,District 5,Teri Castillo,2.0,33.33
2103,District 5,Rudy Lopez,4.0,66.67
2104,District 1,Mario Bravo,13.0,59.09
2104,District 1,Roberto C. Treviño,9.0,40.91
2105,District 5,Teri Castillo,29.0,64.44
2105,District 5,Rudy Lopez,16.0,35.56
2109,District 1,Mario Bravo 0 0,,
2109,District 1,Roberto C. Treviño 0 0,,
2110,District 1,Mario Bravo,80.0,63.49
2110,District 1,Roberto C. Treviño,46.0,36.51
2114,District 1,Mario Bravo,81.0,50.31
2114,District 1,Roberto C. Treviño,80.0,49.69
2116,District 1,Mario Bravo 0 0,,
2116,District 1,Roberto C. Treviño 0 0,,
2117,District 5,Teri Castillo,45.0,76.27
2117,District 5,Rudy Lopez,14.0,23.73
2118,District 5,Teri Castillo,1.0,33.33
2118,District 5,Rudy Lopez,2.0,66.67
2121,District 1,Mario Bravo,17.0,65.38
2121,District 1,Roberto C. Treviño,9.0,34.62
2129,District 1,Mario Bravo 0 0,,
2129,District 1,Roberto C. Treviño 0 0,,
2131,District 1,Mario Bravo,10.0,52.63
2131,District 1,Roberto C. Treviño,9.0,47.37
2132,District 1,Mario Bravo 0 0,,
2132,District 1,Roberto C. Treviño 0 0,,
2135,District 1,Mario Bravo,17.0,50.0
2135,District 1,Roberto C. Treviño,17.0,50.0
2137,District 1,Mario Bravo,75.0,51.02
2137,District 1,Roberto C. Treviño,72.0,48.98
2138,District 1,Mario Bravo,38.0,40.43
2138,District 1,Roberto C. Treviño,56.0,59.57
2144,District 1,Mario Bravo,92.0,42.99
2144,District 1,Roberto C. Treviño,122.0,57.01
2150,District 1,Mario Bravo 0 0,,
2150,District 1,Roberto C. Treviño 0 0,,
2152,District 1,Mario Bravo,14.0,36.84
2152,District 1,Roberto C. Treviño,24.0,63.16
2155,District 1,Mario Bravo 0 0,,
2155,District 1,Roberto C. Treviño 0 0,,
3001,District 9,Patrick Von Dohlen,237.0,46.47
3001,District 9,John Courage,273.0,53.53
3004,District 1,Mario Bravo 0 0,,
3004,District 1,Roberto C. Treviño 0 0,,
3005,District 9,Patrick Von Dohlen 0 0,,
3005,District 9,John Courage 0 0,,
3006,District 9,Patrick Von Dohlen,99.0,39.76
3006,District 9,John Courage,150.0,60.24
3007,District 9,Patrick Von Dohlen,234.0,53.55
3007,District 9,John Courage,203.0,46.45
3011,District 9,Patrick Von Dohlen,67.0,28.15
3011,District 9,John Courage,171.0,71.85
3014,District 9,Patrick Von Dohlen,44.0,44.44
3014,District 9,John Courage,55.0,55.56
3030,District 9,Patrick Von Dohlen,221.0,41.31
3030,District 9,John Courage,314.0,58.69
3031,District 9,Patrick Von Dohlen,2.0,33.33
