Precinct,Race,Candidate,Total Votes
3004,"For Council, City of San Antonio, District 1",Mario,Bravo
3006,"For Council, City of San Antonio, District 1",Vote,For
3006,"For Council, City of San Antonio, District 1",TOTAL,VOTE
3006,"For Council, City of San Antonio, District 1",Sukh Kaur,102
3006,"For Council, City of San Antonio, District 1",Mario Bravo,73
3011,"For Council, City of San Antonio, District 1",Vote,For
3011,"For Council, City of San Antonio, District 1",TOTAL,VOTE
3011,"For Council, City of San Antonio, District 1",Sukh Kaur,122
3011,"For Council, City of San Antonio, District 1",Mario Bravo,86
3013,"For Council, City of San Antonio, District 1",Vote,For
3013,"For Council, City of San Antonio, District 1",TOTAL,VOTE
3013,"For Council, City of San Antonio, District 1",Sukh Kaur,132
3013,"For Council, City of San Antonio, District 1",Mario Bravo,93
3014,"For Council, City of San Antonio, District 1",Vote,For
3014,"For Council, City of San Antonio, District 1",TOTAL,VOTE
3014,"For Council, City of San Antonio, District 1",Sukh Kaur,33
3014,"For Council, City of San Antonio, District 1",Mario Bravo,29
3015,"For Council, City of San Antonio, District 1",Vote,For
3015,"For Council, City of San Antonio, District 1",TOTAL,VOTE
3015,"For Council, City of San Antonio, District 1",Sukh Kaur,94
3015,"For Council, City of San Antonio, District 1",Mario Bravo,89
3024,"For Council, City of San Antonio, District 1",Vote,For
3024,"For Council, City of San Antonio, District 1",TOTAL,VOTE
3024,"For Council, City of San Antonio, District 1",Sukh,Kaur
3024,"For Council, City of San Antonio, District 1",Mario,Bravo
3031,"For Council, City of San Antonio, District 1",Vote,For
3031,"For Council, City of San Antonio, District 1",TOTAL,VOTE
3031,"For Council, City of San Antonio, District 1",Sukh Kaur,1
3031,"For Council, City of San Antonio, District 1",Mario Bravo,5
3053,"For Council, City of San Antonio, District 1",Vote,For
3053,"For Council, City of San Antonio, District 1",TOTAL,VOTE
3053,"For Council, City of San Antonio, District 1",Sukh Kaur,173
3053,"For Council, City of San Antonio, District 1",Mario Bravo,81
3063,"For Council, City of San Antonio, District 1",Vote,For
3063,"For Council, City of San Antonio, District 1",TOTAL,VOTE
3063,"For Council, City of San Antonio, District 1",Sukh Kaur,193
3063,"For Council, City of San Antonio, District 1",Mario Bravo,125
3064,"For Council, City of San Antonio, District 1",Vote,For
3064,"For Council, City of San Antonio, District 1",TOTAL,VOTE
3064,"For Council, City of San Antonio, District 1",Sukh Kaur,41
3064,"For Council, City of San Antonio, District 1",Mario Bravo,30
3066,"For Council, City of San Antonio, District 1",Vote,For
3066,"For Council, City of San Antonio, District 1",TOTAL,VOTE
3066,"For Council, City of San Antonio, District 1",Sukh Kaur,168
3066,"For Council, City of San Antonio, District 1",Mario Bravo,154
3111,"For Council, City of San Antonio, District 1",Vote,For
3111,"For Council, City of San Antonio, District 1",TOTAL,VOTE
3111,"For Council, City of San Antonio, District 1",Sukh,Kaur
3111,"For Council, City of San Antonio, District 1",Mario,Bravo
3131,"For Council, City of San Antonio, District 1",Vote,For
3131,"For Council, City of San Antonio, District 1",TOTAL,VOTE
3131,"For Council, City of San Antonio, District 1",Sukh,Kaur
3131,"For Council, City of San Antonio, District 1",Mario,Bravo
3147,"For Council, City of San Antonio, District 1",Vote,For
3147,"For Council, City of San Antonio, District 1",TOTAL,VOTE
3147,"For Council, City of San Antonio, District 1",Sukh Kaur,4
3147,"For Council, City of San Antonio, District 1",Mario Bravo,1
